variable,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
value_2019,356741700.0,356741700.0,356741700.0,356741700.0,356741700.0,356741700.0,356741700.0,356741700.0,356741700.0,356741700.0,356741700.0,356741700.0,356741700.0,356741700.0
change_2019,10584600.0,2799900.0,0.0,32672500.0,37467700.0,31401400.0,26015600.0,24410800.0,21135100.0,17097300.0,12643100.0,7411900.0,1746600.0,-4208800.0
