iso3,country,hdicode,region,variable,value,year,variable_name,population,income_level,continent
AFG,Afghanistan,Low,SA,gii,0.678,2021,Gender Inequality Index (value),40099462.0,Low income,Asia
ALB,Albania,High,ECA,gii,0.144,2021,Gender Inequality Index (value),2811666.0,Upper middle income,Europe
DZA,Algeria,High,AS,gii,0.499,2021,Gender Inequality Index (value),44177969.0,Lower middle income,Africa
AGO,Angola,Medium,SSA,gii,0.537,2021,Gender Inequality Index (value),34503774.0,Lower middle income,Africa
ARG,Argentina,Very High,LAC,gii,0.287,2021,Gender Inequality Index (value),45808747.0,Upper middle income,America
ARM,Armenia,High,ECA,gii,0.216,2021,Gender Inequality Index (value),2790974.0,Upper middle income,Asia
AUS,Australia,Very High,,gii,0.073,2021,Gender Inequality Index (value),25688079.0,High income,Oceania
AUT,Austria,Very High,,gii,0.053,2021,Gender Inequality Index (value),8955797.0,High income,Europe
AZE,Azerbaijan,High,ECA,gii,0.294,2021,Gender Inequality Index (value),10137750.0,Upper middle income,Asia
BHS,Bahamas,Very High,LAC,gii,0.329,2021,Gender Inequality Index (value),407906.0,High income,America
BHR,Bahrain,Very High,AS,gii,0.181,2021,Gender Inequality Index (value),1463265.0,High income,Asia
BGD,Bangladesh,Medium,SA,gii,0.53,2021,Gender Inequality Index (value),169356251.0,Lower middle income,Asia
BRB,Barbados,High,LAC,gii,0.268,2021,Gender Inequality Index (value),281200.0,High income,America
BLR,Belarus,Very High,ECA,gii,0.104,2021,Gender Inequality Index (value),9340314.0,Upper middle income,Europe
BEL,Belgium,Very High,,gii,0.048,2021,Gender Inequality Index (value),11592952.0,High income,Europe
BLZ,Belize,Medium,LAC,gii,0.364,2021,Gender Inequality Index (value),400031.0,Upper middle income,America
BEN,Benin,Low,SSA,gii,0.602,2021,Gender Inequality Index (value),12996895.0,Lower middle income,Africa
BTN,Bhutan,Medium,SA,gii,0.415,2021,Gender Inequality Index (value),777486.0,Lower middle income,Asia
BOL,Bolivia (Plurinational State of),Medium,LAC,gii,0.418,2021,Gender Inequality Index (value),12079472.0,Lower middle income,America
BIH,Bosnia and Herzegovina,High,ECA,gii,0.136,2021,Gender Inequality Index (value),3270943.0,Upper middle income,Europe
BWA,Botswana,Medium,SSA,gii,0.468,2021,Gender Inequality Index (value),2588423.0,Upper middle income,Africa
BRA,Brazil,High,LAC,gii,0.39,2021,Gender Inequality Index (value),214326223.0,Upper middle income,America
BRN,Brunei Darussalam,Very High,EAP,gii,0.259,2021,Gender Inequality Index (value),445373.0,High income,Asia
BGR,Bulgaria,High,,gii,0.21,2021,Gender Inequality Index (value),6877743.0,Upper middle income,Europe
BFA,Burkina Faso,Low,SSA,gii,0.621,2021,Gender Inequality Index (value),22100683.0,Low income,Africa
BDI,Burundi,Low,SSA,gii,0.505,2021,Gender Inequality Index (value),12551213.0,Low income,Africa
CPV,Cabo Verde,Medium,SSA,gii,0.349,2021,Gender Inequality Index (value),587925.0,Lower middle income,Africa
KHM,Cambodia,Medium,EAP,gii,0.461,2021,Gender Inequality Index (value),16589023.0,Lower middle income,Asia
CMR,Cameroon,Medium,SSA,gii,0.565,2021,Gender Inequality Index (value),27198628.0,Lower middle income,Africa
CAN,Canada,Very High,,gii,0.069,2021,Gender Inequality Index (value),38246108.0,High income,America
CAF,Central African Republic,Low,SSA,gii,0.672,2021,Gender Inequality Index (value),5457154.0,Low income,Africa
TCD,Chad,Low,SSA,gii,0.652,2021,Gender Inequality Index (value),17179740.0,Low income,Africa
CHL,Chile,Very High,LAC,gii,0.187,2021,Gender Inequality Index (value),19493184.0,High income,America
CHN,China,High,EAP,gii,0.192,2021,Gender Inequality Index (value),1412360000.0,Upper middle income,Asia
COL,Colombia,High,LAC,gii,0.424,2021,Gender Inequality Index (value),51516562.0,Upper middle income,America
COG,Congo,Medium,SSA,gii,0.564,2021,Gender Inequality Index (value),5835806.0,Lower middle income,Africa
COD,Congo (Democratic Republic of the),Low,SSA,gii,0.601,2021,Gender Inequality Index (value),95894118.0,Low income,Africa
CRI,Costa Rica,Very High,LAC,gii,0.256,2021,Gender Inequality Index (value),5153957.0,Upper middle income,America
HRV,Croatia,Very High,,gii,0.093,2021,Gender Inequality Index (value),3899000.0,High income,Europe
CUB,Cuba,High,LAC,gii,0.303,2021,Gender Inequality Index (value),11256372.0,Upper middle income,America
CYP,Cyprus,Very High,,gii,0.123,2021,Gender Inequality Index (value),1244188.0,High income,Asia
CZE,Czechia,Very High,,gii,0.12,2021,Gender Inequality Index (value),10505772.0,High income,Europe
CIV,Côte d'Ivoire,Medium,SSA,gii,0.613,2021,Gender Inequality Index (value),27478249.0,Lower middle income,Africa
DNK,Denmark,Very High,,gii,0.013,2021,Gender Inequality Index (value),5856733.0,High income,Europe
DOM,Dominican Republic,High,LAC,gii,0.429,2021,Gender Inequality Index (value),11117873.0,Upper middle income,America
ECU,Ecuador,High,LAC,gii,0.362,2021,Gender Inequality Index (value),17797737.0,Upper middle income,America
EGY,Egypt,High,AS,gii,0.443,2021,Gender Inequality Index (value),109262178.0,Lower middle income,Africa
SLV,El Salvador,Medium,LAC,gii,0.376,2021,Gender Inequality Index (value),6314167.0,Lower middle income,America
EST,Estonia,Very High,,gii,0.1,2021,Gender Inequality Index (value),1330932.0,High income,Europe
SWZ,Eswatini (Kingdom of),Medium,SSA,gii,0.54,2021,Gender Inequality Index (value),1192271.0,Lower middle income,Africa
ETH,Ethiopia,Low,SSA,gii,0.52,2021,Gender Inequality Index (value),120283026.0,Low income,Africa
FJI,Fiji,High,EAP,gii,0.318,2021,Gender Inequality Index (value),924610.0,Upper middle income,Oceania
FIN,Finland,Very High,,gii,0.033,2021,Gender Inequality Index (value),5541017.0,High income,Europe
FRA,France,Very High,,gii,0.083,2021,Gender Inequality Index (value),67749632.0,High income,Europe
GAB,Gabon,High,SSA,gii,0.541,2021,Gender Inequality Index (value),2341179.0,Upper middle income,Africa
GMB,Gambia,Low,SSA,gii,0.611,2021,Gender Inequality Index (value),2639916.0,Low income,Africa
GEO,Georgia,Very High,ECA,gii,0.28,2021,Gender Inequality Index (value),3708610.0,Upper middle income,Asia
DEU,Germany,Very High,,gii,0.073,2021,Gender Inequality Index (value),83196078.0,High income,Europe
GHA,Ghana,Medium,SSA,gii,0.529,2021,Gender Inequality Index (value),32833031.0,Lower middle income,Africa
GRC,Greece,Very High,,gii,0.119,2021,Gender Inequality Index (value),10641221.0,High income,Europe
GTM,Guatemala,Medium,LAC,gii,0.481,2021,Gender Inequality Index (value),17109746.0,Upper middle income,America
GIN,Guinea,Low,SSA,gii,0.621,2021,Gender Inequality Index (value),13531906.0,Low income,Africa
GNB,Guinea-Bissau,Low,SSA,gii,0.627,2021,Gender Inequality Index (value),2060721.0,Low income,Africa
