indicator_name,entity_name,year,value_label,value,female_pop,width,female_pop_annot
Can a woman work in an industrial job in the same way as a man?,China,2021,no,-1,691219627.0,17.782727766277976,691.219627
Can a woman work at night in the same way as a man?,China,2021,yes,1,691219627.0,17.782727766277976,691.219627
Does the law mandate equal remuneration for work of equal value?,China,2021,no,-1,691219627.0,17.782727766277976,691.219627
Can a woman work in a job deemed dangerous in the same way as a man?,China,2021,no,-1,691219627.0,17.782727766277976,691.219627
Can a woman work in a job deemed dangerous in the same way as a man?,India,2021,yes,1,681060412.0,17.521365751069908,681.060412
Can a woman work in an industrial job in the same way as a man?,India,2021,no,-1,681060412.0,17.521365751069908,681.060412
Does the law mandate equal remuneration for work of equal value?,India,2021,no,-1,681060412.0,17.521365751069908,681.060412
Can a woman work at night in the same way as a man?,India,2021,no,-1,681060412.0,17.521365751069908,681.060412
Can a woman work in an industrial job in the same way as a man?,United States,2021,yes,1,167480460.0,4.308702053610824,167.48046
Can a woman work in a job deemed dangerous in the same way as a man?,United States,2021,yes,1,167480460.0,4.308702053610824,167.48046
Does the law mandate equal remuneration for work of equal value?,United States,2021,no,-1,167480460.0,4.308702053610824,167.48046
Can a woman work at night in the same way as a man?,United States,2021,yes,1,167480460.0,4.308702053610824,167.48046
Can a woman work in a job deemed dangerous in the same way as a man?,Indonesia,2021,yes,1,135900714.0,3.496262701326335,135.900714
Can a woman work in an industrial job in the same way as a man?,Indonesia,2021,yes,1,135900714.0,3.496262701326335,135.900714
Can a woman work at night in the same way as a man?,Indonesia,2021,yes,1,135900714.0,3.496262701326335,135.900714
Does the law mandate equal remuneration for work of equal value?,Indonesia,2021,no,-1,135900714.0,3.496262701326335,135.900714
Can a woman work in a job deemed dangerous in the same way as a man?,Pakistan,2021,yes,1,114586264.0,2.9479144672303383,114.586264
Can a woman work at night in the same way as a man?,Pakistan,2021,yes,1,114586264.0,2.9479144672303383,114.586264
Does the law mandate equal remuneration for work of equal value?,Pakistan,2021,no,-1,114586264.0,2.9479144672303383,114.586264
Can a woman work in an industrial job in the same way as a man?,Pakistan,2021,no,-1,114586264.0,2.9479144672303383,114.586264
Can a woman work in a job deemed dangerous in the same way as a man?,Brazil,2021,yes,1,109034931.0,2.805097568486583,109.034931
Can a woman work in an industrial job in the same way as a man?,Brazil,2021,yes,1,109034931.0,2.805097568486583,109.034931
Does the law mandate equal remuneration for work of equal value?,Brazil,2021,no,-1,109034931.0,2.805097568486583,109.034931
Can a woman work at night in the same way as a man?,Brazil,2021,yes,1,109034931.0,2.805097568486583,109.034931
Can a woman work in a job deemed dangerous in the same way as a man?,Nigeria,2021,yes,1,105574310.0,2.7160675717367013,105.57431
Can a woman work in an industrial job in the same way as a man?,Nigeria,2021,no,-1,105574310.0,2.7160675717367013,105.57431
Does the law mandate equal remuneration for work of equal value?,Nigeria,2021,no,-1,105574310.0,2.7160675717367013,105.57431
Can a woman work at night in the same way as a man?,Nigeria,2021,yes,1,105574310.0,2.7160675717367013,105.57431
Does the law mandate equal remuneration for work of equal value?,Bangladesh,2021,no,-1,85358163.0,2.195974934691172,85.358163
Can a woman work at night in the same way as a man?,Bangladesh,2021,yes,1,85358163.0,2.195974934691172,85.358163
Can a woman work in an industrial job in the same way as a man?,Bangladesh,2021,no,-1,85358163.0,2.195974934691172,85.358163
Can a woman work in a job deemed dangerous in the same way as a man?,Bangladesh,2021,no,-1,85358163.0,2.195974934691172,85.358163
Can a woman work at night in the same way as a man?,Russia,2021,yes,1,76824577.0,1.9764348192480656,76.824577
Can a woman work in a job deemed dangerous in the same way as a man?,Russia,2021,no,-1,76824577.0,1.9764348192480656,76.824577
Can a woman work in an industrial job in the same way as a man?,Russia,2021,no,-1,76824577.0,1.9764348192480656,76.824577
Does the law mandate equal remuneration for work of equal value?,Russia,2021,yes,1,76824577.0,1.9764348192480656,76.824577
Can a woman work in an industrial job in the same way as a man?,Mexico,2021,yes,1,64849001.0,1.6683440192563979,64.849001
Can a woman work in a job deemed dangerous in the same way as a man?,Mexico,2021,yes,1,64849001.0,1.6683440192563979,64.849001
Can a woman work at night in the same way as a man?,Mexico,2021,yes,1,64849001.0,1.6683440192563979,64.849001
Does the law mandate equal remuneration for work of equal value?,Mexico,2021,no,-1,64849001.0,1.6683440192563979,64.849001
Does the law mandate equal remuneration for work of equal value?,Japan,2021,no,-1,64594414.0,1.6617943624801828,64.594414
Can a woman work in a job deemed dangerous in the same way as a man?,Japan,2021,no,-1,64594414.0,1.6617943624801828,64.594414
Can a woman work in an industrial job in the same way as a man?,Japan,2021,no,-1,64594414.0,1.6617943624801828,64.594414
Can a woman work at night in the same way as a man?,Japan,2021,yes,1,64594414.0,1.6617943624801828,64.594414
Can a woman work at night in the same way as a man?,Ethiopia,2021,yes,1,59839622.0,1.5394697518665488,59.839622
Can a woman work in an industrial job in the same way as a man?,Ethiopia,2021,no,-1,59839622.0,1.5394697518665488,59.839622
Does the law mandate equal remuneration for work of equal value?,Ethiopia,2021,no,-1,59839622.0,1.5394697518665488,59.839622
Can a woman work in a job deemed dangerous in the same way as a man?,Ethiopia,2021,no,-1,59839622.0,1.5394697518665488,59.839622
Can a woman work in a job deemed dangerous in the same way as a man?,Philippines,2021,yes,1,56062865.0,1.4423066521121712,56.062865
Does the law mandate equal remuneration for work of equal value?,Philippines,2021,yes,1,56062865.0,1.4423066521121712,56.062865
Can a woman work at night in the same way as a man?,Philippines,2021,yes,1,56062865.0,1.4423066521121712,56.062865
Can a woman work in an industrial job in the same way as a man?,Philippines,2021,yes,1,56062865.0,1.4423066521121712,56.062865
Does the law mandate equal remuneration for work of equal value?,Egypt,2021,no,-1,54001891.0,1.3892848076161712,54.001891
Can a woman work in a job deemed dangerous in the same way as a man?,Egypt,2021,no,-1,54001891.0,1.3892848076161712,54.001891
Can a woman work at night in the same way as a man?,Egypt,2021,no,-1,54001891.0,1.3892848076161712,54.001891
Can a woman work in an industrial job in the same way as a man?,Egypt,2021,no,-1,54001891.0,1.3892848076161712,54.001891
Does the law mandate equal remuneration for work of equal value?,Vietnam,2021,yes,1,49331842.0,1.2691403458875423,49.331842
Can a woman work in a job deemed dangerous in the same way as a man?,Vietnam,2021,yes,1,49331842.0,1.2691403458875423,49.331842
Can a woman work in an industrial job in the same way as a man?,Vietnam,2021,yes,1,49331842.0,1.2691403458875423,49.331842
