year,entity_name,female,male
1990,World,50.7270367858425,78.8624999014827
1991,World,50.7185975693128,78.7312489576691
1992,World,50.6683012155218,78.5459675550772
1993,World,50.4589665496266,78.2627844705135
1994,World,50.5531212107541,78.0633894132173
1995,World,50.5309353597489,77.9652667996992
1996,World,50.4962293673643,77.8679125123556
1997,World,50.5437532511064,77.858955458778
1998,World,50.5707015373491,77.7797479768041
1999,World,50.7261988917496,77.8395358323994
2000,World,50.7165364143142,77.7711276486074
2001,World,50.4725050274524,77.3584987961497
2002,World,50.2520715564487,76.9536412066173
2003,World,50.1041958768147,76.5733563587029
2004,World,49.9576473739685,76.296889139531
2005,World,49.9051560637537,75.9624866030673
2006,World,49.7428991213234,75.8458053393374
2007,World,49.6842210848398,75.7446689736773
2008,World,49.4401649948064,75.6277052771591
2009,World,49.2691679451429,75.3983323418705
2010,World,48.9469292173427,75.2190284239462
2011,World,48.7628800516242,75.0477746634566
2012,World,48.5455445359174,74.8021943057547
2013,World,48.1697802316097,74.4088890181052
2014,World,47.8958125394213,74.0669370626675
2015,World,47.720140139263,73.799792018678
2016,World,47.5169629484422,73.4831614260517
2017,World,47.312467531586,73.1420034536666
2018,World,47.0844802989109,72.8692827754982
2019,World,47.6765789755042,72.8264641018103
2020,World,46.0846546788129,71.1090670580191
2021,World,47.0843429861229,71.9143581882575
2022,World,47.4046804288649,72.3935312162309
