x_values,binned,Low income,Lower middle income,Upper middle income,High income
0.0,0,0,0,0,0
0.05,0.001-0.1,0,0,0,28
0.15,0.1-0.2,0,1,9,11
0.25,0.2-0.3,0,4,11,8
0.35,0.3-0.4,1,6,13,4
0.45,0.4-0.5,1,18,10,0
0.55,0.5-0.6,10,12,2,0
0.65,0.6-0.7,12,5,1,0
0.75,0.7-0.8,0,1,0,0
0.85,0.8-0.9,1,0,0,0
0.95,0.9-1,0,0,0,0
