country,gender,strongly disagree,strongly agree,disagree,agree
Togo,all,-7.002561912894961,64.21861656703672,-7.429547395388557,21.34927412467976
Togo,female,-5.498281786941581,67.69759450171821,-6.529209621993128,20.274914089347078
Togo,male,-8.488964346349745,60.78098471986417,-8.31918505942275,22.410865874363328
Tunisia,all,-22.652885443583116,45.21963824289406,-8.354866494401378,23.772609819121445
Tunisia,female,-19.591141396933562,53.15161839863713,-7.666098807495741,19.591141396933562
Tunisia,male,-25.78397212543554,37.10801393728223,-9.059233449477352,28.04878048780488
Uganda,all,-14.576271186440678,61.94915254237288,-7.033898305084746,16.440677966101696
Uganda,female,-10.152284263959391,67.34348561759728,-5.414551607445008,17.089678510998308
Uganda,male,-19.015280135823428,56.536502546689306,-8.65874363327674,15.789473684210526
Zambia,all,-19.194515852613538,52.870608397600684,-9.34018851756641,18.594687232219364
Zambia,female,-14.802065404475043,56.454388984509464,-8.777969018932874,19.965576592082616
Zambia,male,-23.549488054607508,49.31740614334471,-9.897610921501707,17.235494880546078
Zimbabwe,all,-17.235494880546078,52.986348122866886,-11.092150170648464,18.686006825938566
Zimbabwe,female,-11.243611584327088,62.862010221465084,-8.006814310051109,17.88756388415673
Zimbabwe,male,-23.247863247863247,43.07692307692308,-14.188034188034187,19.48717948717949
eSwatini,all,-12.714776632302405,55.670103092783506,-7.81786941580756,23.797250859106526
eSwatini,female,-8.347529812606473,60.6473594548552,-6.132879045996593,24.87223168654174
eSwatini,male,-17.157712305025996,50.60658578856152,-9.532062391681109,22.703639514731368
