x_values,binned,Africa,America,Asia,Europe,Oceania
0.0,0,0,0,0,0,0
0.05,0.001-0.1,0,1,5,20,2
0.15,0.1-0.2,0,2,5,14,0
0.25,0.2-0.3,2,4,12,5,0
0.35,0.3-0.4,3,13,7,0,1
0.45,0.4-0.5,7,10,12,0,1
0.55,0.5-0.6,21,0,3,0,0
0.65,0.6-0.7,15,1,1,0,1
0.75,0.7-0.8,0,0,0,0,1
0.85,0.8-0.9,0,0,1,0,0
0.95,0.9-1,0,0,0,0,0
