year,value,SSA,World
2019,221,0.0,
2019,357,,0.0
2020,234,6.147817801200907,
2020,389,,9.15858729158941
2021,241,9.384601715514064,
2021,394,,10.502753112405989
2022,244,10.503013165088081,
2022,388,,8.802279071944778
2023,246,11.63479731965661,
2023,383,,7.292559294301734
2024,249,13.022657442068988,
2024,381,,6.8427100055866745
2025,251,13.65221719448809,
2025,378,,5.924482615853438
2026,251,13.692743290301928,
2026,374,,4.792627270655497
2027,250,13.378824706956433,
2027,369,,3.54404881739365
2028,249,12.814995199425564,
2028,364,,2.077665717240234
2029,247,12.116985329915957,
2029,358,,0.48959793598561674
2030,246,11.316300284770612,
2030,353,,-1.1797891864057375
