indicator_name,entity_name,year,value_label,value,female_pop,width,female_pop_annot
Can a woman get a job in the same way as a man?,China,2022,yes,1,691219627.0,17.782727766277976,691.219627
Are there criminal penalties for sexual harassment in in the workplace?,China,2022,yes,1,691219627.0,17.782727766277976,691.219627
Does the law prohibit gender discrimination in the workplace?,China,2022,yes,1,691219627.0,17.782727766277976,691.219627
Does the law require equal pay for equal work?,China,2022,no,-1,691219627.0,17.782727766277976,691.219627
Can a woman sign a contract in the same way as a man?,China,2022,no,-1,691219627.0,17.782727766277976,691.219627
Can a woman sign a contract in the same way as a man?,India,2022,no,-1,681060412.0,17.521365751069908,681.060412
Can a woman get a job in the same way as a man?,India,2022,yes,1,681060412.0,17.521365751069908,681.060412
Does the law require equal pay for equal work?,India,2022,no,-1,681060412.0,17.521365751069908,681.060412
Does the law prohibit gender discrimination in the workplace?,India,2022,yes,1,681060412.0,17.521365751069908,681.060412
Are there criminal penalties for sexual harassment in in the workplace?,India,2022,yes,1,681060412.0,17.521365751069908,681.060412
Does the law require equal pay for equal work?,United States,2022,no,-1,167480460.0,4.308702053610824,167.48046
Can a woman sign a contract in the same way as a man?,United States,2022,yes,1,167480460.0,4.308702053610824,167.48046
Can a woman get a job in the same way as a man?,United States,2022,yes,1,167480460.0,4.308702053610824,167.48046
Does the law prohibit gender discrimination in the workplace?,United States,2022,yes,1,167480460.0,4.308702053610824,167.48046
Are there criminal penalties for sexual harassment in in the workplace?,United States,2022,yes,1,167480460.0,4.308702053610824,167.48046
Can a woman sign a contract in the same way as a man?,Indonesia,2022,no,-1,135900714.0,3.496262701326335,135.900714
Can a woman get a job in the same way as a man?,Indonesia,2022,yes,1,135900714.0,3.496262701326335,135.900714
Are there criminal penalties for sexual harassment in in the workplace?,Indonesia,2022,yes,1,135900714.0,3.496262701326335,135.900714
Does the law prohibit gender discrimination in the workplace?,Indonesia,2022,yes,1,135900714.0,3.496262701326335,135.900714
Does the law require equal pay for equal work?,Indonesia,2022,no,-1,135900714.0,3.496262701326335,135.900714
Can a woman sign a contract in the same way as a man?,Pakistan,2022,no,-1,114586264.0,2.9479144672303383,114.586264
Are there criminal penalties for sexual harassment in in the workplace?,Pakistan,2022,yes,1,114586264.0,2.9479144672303383,114.586264
Does the law prohibit gender discrimination in the workplace?,Pakistan,2022,yes,1,114586264.0,2.9479144672303383,114.586264
Can a woman get a job in the same way as a man?,Pakistan,2022,yes,1,114586264.0,2.9479144672303383,114.586264
Does the law require equal pay for equal work?,Pakistan,2022,no,-1,114586264.0,2.9479144672303383,114.586264
Can a woman sign a contract in the same way as a man?,Brazil,2022,no,-1,109034931.0,2.805097568486583,109.034931
Can a woman get a job in the same way as a man?,Brazil,2022,yes,1,109034931.0,2.805097568486583,109.034931
Does the law require equal pay for equal work?,Brazil,2022,no,-1,109034931.0,2.805097568486583,109.034931
Does the law prohibit gender discrimination in the workplace?,Brazil,2022,yes,1,109034931.0,2.805097568486583,109.034931
Are there criminal penalties for sexual harassment in in the workplace?,Brazil,2022,yes,1,109034931.0,2.805097568486583,109.034931
Can a woman sign a contract in the same way as a man?,Nigeria,2022,no,-1,105574310.0,2.7160675717367013,105.57431
Can a woman get a job in the same way as a man?,Nigeria,2022,yes,1,105574310.0,2.7160675717367013,105.57431
Does the law require equal pay for equal work?,Nigeria,2022,no,-1,105574310.0,2.7160675717367013,105.57431
