indicator_name,entity_name,year,value_label,value,female_pop,width,female_pop_annot
Is there legislation on sexual harassment in employment?,Egypt,2021,yes,1,54001891.0,1.3892848076161712,54.001891
Can a woman get a job in the same way as a man?,Egypt,2021,no,-1,54001891.0,1.3892848076161712,54.001891
Are there criminal penalties or civil remedies for sexual harassment in employment?,Egypt,2021,yes,1,54001891.0,1.3892848076161712,54.001891
Does the law prohibit discrimination in employment based on gender?,Egypt,2021,yes,1,54001891.0,1.3892848076161712,54.001891
Is there legislation on sexual harassment in employment?,Vietnam,2021,yes,1,49331842.0,1.2691403458875423,49.331842
Can a woman get a job in the same way as a man?,Vietnam,2021,yes,1,49331842.0,1.2691403458875423,49.331842
Does the law prohibit discrimination in employment based on gender?,Vietnam,2021,yes,1,49331842.0,1.2691403458875423,49.331842
Are there criminal penalties or civil remedies for sexual harassment in employment?,Vietnam,2021,yes,1,49331842.0,1.2691403458875423,49.331842
Does the law prohibit discrimination in employment based on gender?,DR Congo,2021,yes,1,48319268.0,1.2430902641452726,48.319268
Can a woman get a job in the same way as a man?,DR Congo,2021,yes,1,48319268.0,1.2430902641452726,48.319268
Is there legislation on sexual harassment in employment?,DR Congo,2021,yes,1,48319268.0,1.2430902641452726,48.319268
Are there criminal penalties or civil remedies for sexual harassment in employment?,DR Congo,2021,yes,1,48319268.0,1.2430902641452726,48.319268
Can a woman get a job in the same way as a man?,Iran,2021,no,-1,43496643.0,1.119020541377047,43.496643
Does the law prohibit discrimination in employment based on gender?,Iran,2021,no,-1,43496643.0,1.119020541377047,43.496643
Is there legislation on sexual harassment in employment?,Iran,2021,no,-1,43496643.0,1.119020541377047,43.496643
Are there criminal penalties or civil remedies for sexual harassment in employment?,Iran,2021,no,-1,43496643.0,1.119020541377047,43.496643
Is there legislation on sexual harassment in employment?,Türkiye,2021,yes,1,42285574.0,1.0878638590550354,42.285574
Does the law prohibit discrimination in employment based on gender?,Türkiye,2021,yes,1,42285574.0,1.0878638590550354,42.285574
Can a woman get a job in the same way as a man?,Türkiye,2021,yes,1,42285574.0,1.0878638590550354,42.285574
Are there criminal penalties or civil remedies for sexual harassment in employment?,Türkiye,2021,yes,1,42285574.0,1.0878638590550354,42.285574
Are there criminal penalties or civil remedies for sexual harassment in employment?,Germany,2021,yes,1,42146923.0,1.084296840858195,42.146923
Is there legislation on sexual harassment in employment?,Germany,2021,yes,1,42146923.0,1.084296840858195,42.146923
Can a woman get a job in the same way as a man?,Germany,2021,yes,1,42146923.0,1.084296840858195,42.146923
Does the law prohibit discrimination in employment based on gender?,Germany,2021,yes,1,42146923.0,1.084296840858195,42.146923
Is there legislation on sexual harassment in employment?,Thailand,2021,yes,1,36807094.0,1.0,36.807094
Can a woman get a job in the same way as a man?,Thailand,2021,yes,1,36807094.0,1.0,36.807094
Does the law prohibit discrimination in employment based on gender?,Thailand,2021,yes,1,36807094.0,1.0,36.807094
Are there criminal penalties or civil remedies for sexual harassment in employment?,Thailand,2021,yes,1,36807094.0,1.0,36.807094
Can a woman get a job in the same way as a man?,France,2021,yes,1,34998692.0,1.0,34.998692
Is there legislation on sexual harassment in employment?,France,2021,yes,1,34998692.0,1.0,34.998692
Does the law prohibit discrimination in employment based on gender?,France,2021,yes,1,34998692.0,1.0,34.998692
Are there criminal penalties or civil remedies for sexual harassment in employment?,France,2021,yes,1,34998692.0,1.0,34.998692
Are there criminal penalties or civil remedies for sexual harassment in employment?,United Kingdom,2021,yes,1,34065491.0,1.0,34.065491
Can a woman get a job in the same way as a man?,United Kingdom,2021,yes,1,34065491.0,1.0,34.065491
Is there legislation on sexual harassment in employment?,United Kingdom,2021,yes,1,34065491.0,1.0,34.065491
Does the law prohibit discrimination in employment based on gender?,United Kingdom,2021,yes,1,34065491.0,1.0,34.065491
Can a woman get a job in the same way as a man?,Tanzania,2021,yes,1,32170681.0,1.0,32.170681
Does the law prohibit discrimination in employment based on gender?,Tanzania,2021,yes,1,32170681.0,1.0,32.170681
Is there legislation on sexual harassment in employment?,Tanzania,2021,yes,1,32170681.0,1.0,32.170681
Are there criminal penalties or civil remedies for sexual harassment in employment?,Tanzania,2021,yes,1,32170681.0,1.0,32.170681
Are there criminal penalties or civil remedies for sexual harassment in employment?,South Africa,2021,yes,1,30497646.0,1.0,30.497646
Is there legislation on sexual harassment in employment?,South Africa,2021,yes,1,30497646.0,1.0,30.497646
Does the law prohibit discrimination in employment based on gender?,South Africa,2021,yes,1,30497646.0,1.0,30.497646
Can a woman get a job in the same way as a man?,South Africa,2021,yes,1,30497646.0,1.0,30.497646
Is there legislation on sexual harassment in employment?,Italy,2021,yes,1,30300094.0,1.0,30.300094
Does the law prohibit discrimination in employment based on gender?,Italy,2021,yes,1,30300094.0,1.0,30.300094
Can a woman get a job in the same way as a man?,Italy,2021,yes,1,30300094.0,1.0,30.300094
Are there criminal penalties or civil remedies for sexual harassment in employment?,Italy,2021,yes,1,30300094.0,1.0,30.300094
Are there criminal penalties or civil remedies for sexual harassment in employment?,Myanmar,2021,no,-1,27015414.0,1.0,27.015414
Can a woman get a job in the same way as a man?,Myanmar,2021,yes,1,27015414.0,1.0,27.015414
Does the law prohibit discrimination in employment based on gender?,Myanmar,2021,no,-1,27015414.0,1.0,27.015414
Is there legislation on sexual harassment in employment?,Myanmar,2021,no,-1,27015414.0,1.0,27.015414
Can a woman get a job in the same way as a man?,Kenya,2021,yes,1,26726429.0,1.0,26.726429
Does the law prohibit discrimination in employment based on gender?,Kenya,2021,yes,1,26726429.0,1.0,26.726429
Are there criminal penalties or civil remedies for sexual harassment in employment?,Kenya,2021,yes,1,26726429.0,1.0,26.726429
Is there legislation on sexual harassment in employment?,Kenya,2021,yes,1,26726429.0,1.0,26.726429
Is there legislation on sexual harassment in employment?,Colombia,2021,yes,1,26101321.0,1.0,26.101321
Are there criminal penalties or civil remedies for sexual harassment in employment?,Colombia,2021,yes,1,26101321.0,1.0,26.101321
Can a woman get a job in the same way as a man?,Colombia,2021,yes,1,26101321.0,1.0,26.101321
Does the law prohibit discrimination in employment based on gender?,Colombia,2021,yes,1,26101321.0,1.0,26.101321
Can a woman get a job in the same way as a man?,South Korea,2021,yes,1,25902500.0,1.0,25.9025
Does the law prohibit discrimination in employment based on gender?,South Korea,2021,yes,1,25902500.0,1.0,25.9025
Is there legislation on sexual harassment in employment?,South Korea,2021,yes,1,25902500.0,1.0,25.9025
Are there criminal penalties or civil remedies for sexual harassment in employment?,South Korea,2021,yes,1,25902500.0,1.0,25.9025
Can a woman get a job in the same way as a man?,Spain,2021,yes,1,24178913.0,1.0,24.178913
Is there legislation on sexual harassment in employment?,Spain,2021,yes,1,24178913.0,1.0,24.178913
Does the law prohibit discrimination in employment based on gender?,Spain,2021,yes,1,24178913.0,1.0,24.178913
Are there criminal penalties or civil remedies for sexual harassment in employment?,Spain,2021,yes,1,24178913.0,1.0,24.178913
Are there criminal penalties or civil remedies for sexual harassment in employment?,Ukraine,2021,yes,1,23524526.0,1.0,23.524526
Can a woman get a job in the same way as a man?,Ukraine,2021,yes,1,23524526.0,1.0,23.524526
Does the law prohibit discrimination in employment based on gender?,Ukraine,2021,yes,1,23524526.0,1.0,23.524526
Is there legislation on sexual harassment in employment?,Ukraine,2021,yes,1,23524526.0,1.0,23.524526
Does the law prohibit discrimination in employment based on gender?,Uganda,2021,yes,1,23153140.0,1.0,23.15314
Is there legislation on sexual harassment in employment?,Uganda,2021,yes,1,23153140.0,1.0,23.15314
Are there criminal penalties or civil remedies for sexual harassment in employment?,Uganda,2021,yes,1,23153140.0,1.0,23.15314
Can a woman get a job in the same way as a man?,Uganda,2021,yes,1,23153140.0,1.0,23.15314
Can a woman get a job in the same way as a man?,Argentina,2021,yes,1,23130548.0,1.0,23.130548
Does the law prohibit discrimination in employment based on gender?,Argentina,2021,yes,1,23130548.0,1.0,23.130548
Are there criminal penalties or civil remedies for sexual harassment in employment?,Argentina,2021,no,-1,23130548.0,1.0,23.130548
Is there legislation on sexual harassment in employment?,Argentina,2021,yes,1,23130548.0,1.0,23.130548
Are there criminal penalties or civil remedies for sexual harassment in employment?,Sudan,2021,no,-1,22842482.0,1.0,22.842482
Does the law prohibit discrimination in employment based on gender?,Sudan,2021,no,-1,22842482.0,1.0,22.842482
Is there legislation on sexual harassment in employment?,Sudan,2021,no,-1,22842482.0,1.0,22.842482
Can a woman get a job in the same way as a man?,Sudan,2021,no,-1,22842482.0,1.0,22.842482
Can a woman get a job in the same way as a man?,Iraq,2021,yes,1,21736184.0,1.0,21.736184
Does the law prohibit discrimination in employment based on gender?,Iraq,2021,yes,1,21736184.0,1.0,21.736184
Is there legislation on sexual harassment in employment?,Iraq,2021,yes,1,21736184.0,1.0,21.736184
Are there criminal penalties or civil remedies for sexual harassment in employment?,Iraq,2021,yes,1,21736184.0,1.0,21.736184
Can a woman get a job in the same way as a man?,Algeria,2021,yes,1,21680725.0,1.0,21.680725
Does the law prohibit discrimination in employment based on gender?,Algeria,2021,no,-1,21680725.0,1.0,21.680725
Is there legislation on sexual harassment in employment?,Algeria,2021,yes,1,21680725.0,1.0,21.680725
Are there criminal penalties or civil remedies for sexual harassment in employment?,Algeria,2021,yes,1,21680725.0,1.0,21.680725
Does the law prohibit discrimination in employment based on gender?,Afghanistan,2021,no,-1,19844584.0,1.0,19.844584
Can a woman get a job in the same way as a man?,Afghanistan,2021,yes,1,19844584.0,1.0,19.844584
Is there legislation on sexual harassment in employment?,Afghanistan,2021,yes,1,19844584.0,1.0,19.844584
Are there criminal penalties or civil remedies for sexual harassment in employment?,Afghanistan,2021,yes,1,19844584.0,1.0,19.844584
Are there criminal penalties or civil remedies for sexual harassment in employment?,Poland,2021,yes,1,19493868.0,1.0,19.493868
Does the law prohibit discrimination in employment based on gender?,Poland,2021,yes,1,19493868.0,1.0,19.493868
Is there legislation on sexual harassment in employment?,Poland,2021,yes,1,19493868.0,1.0,19.493868
Can a woman get a job in the same way as a man?,Poland,2021,yes,1,19493868.0,1.0,19.493868
Are there criminal penalties or civil remedies for sexual harassment in employment?,Canada,2021,yes,1,19240835.0,1.0,19.240835
Is there legislation on sexual harassment in employment?,Canada,2021,yes,1,19240835.0,1.0,19.240835
Does the law prohibit discrimination in employment based on gender?,Canada,2021,yes,1,19240835.0,1.0,19.240835
Can a woman get a job in the same way as a man?,Canada,2021,yes,1,19240835.0,1.0,19.240835
Does the law prohibit discrimination in employment based on gender?,Morocco,2021,yes,1,18410922.0,1.0,18.410922
Is there legislation on sexual harassment in employment?,Morocco,2021,yes,1,18410922.0,1.0,18.410922
Can a woman get a job in the same way as a man?,Morocco,2021,yes,1,18410922.0,1.0,18.410922
Are there criminal penalties or civil remedies for sexual harassment in employment?,Morocco,2021,yes,1,18410922.0,1.0,18.410922
Are there criminal penalties or civil remedies for sexual harassment in employment?,Angola,2021,yes,1,17452283.0,1.0,17.452283
Is there legislation on sexual harassment in employment?,Angola,2021,yes,1,17452283.0,1.0,17.452283
Does the law prohibit discrimination in employment based on gender?,Angola,2021,yes,1,17452283.0,1.0,17.452283
Can a woman get a job in the same way as a man?,Angola,2021,yes,1,17452283.0,1.0,17.452283
Are there criminal penalties or civil remedies for sexual harassment in employment?,Uzbekistan,2021,no,-1,17446107.0,1.0,17.446107
Does the law prohibit discrimination in employment based on gender?,Uzbekistan,2021,yes,1,17446107.0,1.0,17.446107
Can a woman get a job in the same way as a man?,Uzbekistan,2021,yes,1,17446107.0,1.0,17.446107
Is there legislation on sexual harassment in employment?,Uzbekistan,2021,no,-1,17446107.0,1.0,17.446107
Are there criminal penalties or civil remedies for sexual harassment in employment?,Peru,2021,yes,1,17020361.0,1.0,17.020361
Is there legislation on sexual harassment in employment?,Peru,2021,yes,1,17020361.0,1.0,17.020361
Does the law prohibit discrimination in employment based on gender?,Peru,2021,yes,1,17020361.0,1.0,17.020361
Can a woman get a job in the same way as a man?,Peru,2021,yes,1,17020361.0,1.0,17.020361
Does the law prohibit discrimination in employment based on gender?,Ghana,2021,yes,1,16457496.0,1.0,16.457496
Is there legislation on sexual harassment in employment?,Ghana,2021,yes,1,16457496.0,1.0,16.457496
Are there criminal penalties or civil remedies for sexual harassment in employment?,Ghana,2021,yes,1,16457496.0,1.0,16.457496
Can a woman get a job in the same way as a man?,Ghana,2021,yes,1,16457496.0,1.0,16.457496
Are there criminal penalties or civil remedies for sexual harassment in employment?,Malaysia,2021,no,-1,16407343.0,1.0,16.407343
Is there legislation on sexual harassment in employment?,Malaysia,2021,yes,1,16407343.0,1.0,16.407343
Does the law prohibit discrimination in employment based on gender?,Malaysia,2021,no,-1,16407343.0,1.0,16.407343
Can a woman get a job in the same way as a man?,Malaysia,2021,yes,1,16407343.0,1.0,16.407343
Does the law prohibit discrimination in employment based on gender?,Mozambique,2021,yes,1,16339849.0,1.0,16.339849
Can a woman get a job in the same way as a man?,Mozambique,2021,yes,1,16339849.0,1.0,16.339849
Are there criminal penalties or civil remedies for sexual harassment in employment?,Mozambique,2021,yes,1,16339849.0,1.0,16.339849
Is there legislation on sexual harassment in employment?,Mozambique,2021,yes,1,16339849.0,1.0,16.339849
Is there legislation on sexual harassment in employment?,Yemen,2021,no,-1,16313210.0,1.0,16.31321
Can a woman get a job in the same way as a man?,Yemen,2021,no,-1,16313210.0,1.0,16.31321
Are there criminal penalties or civil remedies for sexual harassment in employment?,Yemen,2021,no,-1,16313210.0,1.0,16.31321
Does the law prohibit discrimination in employment based on gender?,Yemen,2021,yes,1,16313210.0,1.0,16.31321
Are there criminal penalties or civil remedies for sexual harassment in employment?,Nepal,2021,yes,1,15664025.0,1.0,15.664025
Does the law prohibit discrimination in employment based on gender?,Nepal,2021,yes,1,15664025.0,1.0,15.664025
Can a woman get a job in the same way as a man?,Nepal,2021,yes,1,15664025.0,1.0,15.664025
Is there legislation on sexual harassment in employment?,Nepal,2021,yes,1,15664025.0,1.0,15.664025
Are there criminal penalties or civil remedies for sexual harassment in employment?,Saudi Arabia,2021,yes,1,15184150.0,1.0,15.18415
Is there legislation on sexual harassment in employment?,Saudi Arabia,2021,yes,1,15184150.0,1.0,15.18415
Does the law prohibit discrimination in employment based on gender?,Saudi Arabia,2021,yes,1,15184150.0,1.0,15.18415
Can a woman get a job in the same way as a man?,Saudi Arabia,2021,yes,1,15184150.0,1.0,15.18415
Does the law prohibit discrimination in employment based on gender?,Madagascar,2021,yes,1,14424717.0,1.0,14.424717
Are there criminal penalties or civil remedies for sexual harassment in employment?,Madagascar,2021,yes,1,14424717.0,1.0,14.424717
Can a woman get a job in the same way as a man?,Madagascar,2021,yes,1,14424717.0,1.0,14.424717
Is there legislation on sexual harassment in employment?,Madagascar,2021,yes,1,14424717.0,1.0,14.424717
Can a woman get a job in the same way as a man?,Venezuela,2021,yes,1,14243056.0,1.0,14.243056
Does the law prohibit discrimination in employment based on gender?,Venezuela,2021,yes,1,14243056.0,1.0,14.243056
Is there legislation on sexual harassment in employment?,Venezuela,2021,yes,1,14243056.0,1.0,14.243056
Are there criminal penalties or civil remedies for sexual harassment in employment?,Venezuela,2021,yes,1,14243056.0,1.0,14.243056
Are there criminal penalties or civil remedies for sexual harassment in employment?,Cameroon,2021,yes,1,13634397.0,1.0,13.634397
Is there legislation on sexual harassment in employment?,Cameroon,2021,yes,1,13634397.0,1.0,13.634397
Does the law prohibit discrimination in employment based on gender?,Cameroon,2021,yes,1,13634397.0,1.0,13.634397
Can a woman get a job in the same way as a man?,Cameroon,2021,no,-1,13634397.0,1.0,13.634397
Are there criminal penalties or civil remedies for sexual harassment in employment?,Cote d'Ivoire,2021,yes,1,13600535.0,1.0,13.600535
Is there legislation on sexual harassment in employment?,Cote d'Ivoire,2021,yes,1,13600535.0,1.0,13.600535
Does the law prohibit discrimination in employment based on gender?,Cote d'Ivoire,2021,yes,1,13600535.0,1.0,13.600535
Can a woman get a job in the same way as a man?,Cote d'Ivoire,2021,yes,1,13600535.0,1.0,13.600535
Is there legislation on sexual harassment in employment?,Australia,2021,yes,1,12936002.0,1.0,12.936002
Does the law prohibit discrimination in employment based on gender?,Australia,2021,yes,1,12936002.0,1.0,12.936002
Can a woman get a job in the same way as a man?,Australia,2021,yes,1,12936002.0,1.0,12.936002
Are there criminal penalties or civil remedies for sexual harassment in employment?,Australia,2021,yes,1,12936002.0,1.0,12.936002
Are there criminal penalties or civil remedies for sexual harassment in employment?,Niger,2021,yes,1,12443587.0,1.0,12.443587
Does the law prohibit discrimination in employment based on gender?,Niger,2021,yes,1,12443587.0,1.0,12.443587
Can a woman get a job in the same way as a man?,Niger,2021,no,-1,12443587.0,1.0,12.443587
Is there legislation on sexual harassment in employment?,Niger,2021,yes,1,12443587.0,1.0,12.443587
Can a woman get a job in the same way as a man?,Sri Lanka,2021,yes,1,11481595.0,1.0,11.481595
Does the law prohibit discrimination in employment based on gender?,Sri Lanka,2021,no,-1,11481595.0,1.0,11.481595
Is there legislation on sexual harassment in employment?,Sri Lanka,2021,yes,1,11481595.0,1.0,11.481595
Are there criminal penalties or civil remedies for sexual harassment in employment?,Sri Lanka,2021,yes,1,11481595.0,1.0,11.481595
Does the law prohibit discrimination in employment based on gender?,Burkina Faso,2021,yes,1,11089986.0,1.0,11.089986
Can a woman get a job in the same way as a man?,Burkina Faso,2021,yes,1,11089986.0,1.0,11.089986
Are there criminal penalties or civil remedies for sexual harassment in employment?,Burkina Faso,2021,yes,1,11089986.0,1.0,11.089986
Is there legislation on sexual harassment in employment?,Burkina Faso,2021,yes,1,11089986.0,1.0,11.089986
Are there criminal penalties or civil remedies for sexual harassment in employment?,Mali,2021,no,-1,10844239.0,1.0,10.844239
Is there legislation on sexual harassment in employment?,Mali,2021,no,-1,10844239.0,1.0,10.844239
Does the law prohibit discrimination in employment based on gender?,Mali,2021,yes,1,10844239.0,1.0,10.844239
Can a woman get a job in the same way as a man?,Mali,2021,yes,1,10844239.0,1.0,10.844239
Are there criminal penalties or civil remedies for sexual harassment in employment?,Syria,2021,no,-1,10643230.0,1.0,10.64323
Does the law prohibit discrimination in employment based on gender?,Syria,2021,yes,1,10643230.0,1.0,10.64323
Can a woman get a job in the same way as a man?,Syria,2021,no,-1,10643230.0,1.0,10.64323
Is there legislation on sexual harassment in employment?,Syria,2021,no,-1,10643230.0,1.0,10.64323
Is there legislation on sexual harassment in employment?,Malawi,2021,yes,1,10218942.0,1.0,10.218942
Are there criminal penalties or civil remedies for sexual harassment in employment?,Malawi,2021,yes,1,10218942.0,1.0,10.218942
Does the law prohibit discrimination in employment based on gender?,Malawi,2021,yes,1,10218942.0,1.0,10.218942
Can a woman get a job in the same way as a man?,Malawi,2021,yes,1,10218942.0,1.0,10.218942
Can a woman get a job in the same way as a man?,Romania,2021,yes,1,9875794.0,1.0,9.875794
Are there criminal penalties or civil remedies for sexual harassment in employment?,Romania,2021,yes,1,9875794.0,1.0,9.875794
Does the law prohibit discrimination in employment based on gender?,Romania,2021,yes,1,9875794.0,1.0,9.875794
Is there legislation on sexual harassment in employment?,Romania,2021,yes,1,9875794.0,1.0,9.875794
Is there legislation on sexual harassment in employment?,Kazakhstan,2021,no,-1,9864589.0,1.0,9.864589
Can a woman get a job in the same way as a man?,Kazakhstan,2021,yes,1,9864589.0,1.0,9.864589
Does the law prohibit discrimination in employment based on gender?,Kazakhstan,2021,yes,1,9864589.0,1.0,9.864589
Are there criminal penalties or civil remedies for sexual harassment in employment?,Kazakhstan,2021,no,-1,9864589.0,1.0,9.864589
Does the law prohibit discrimination in employment based on gender?,Zambia,2021,yes,1,9864121.0,1.0,9.864121
Can a woman get a job in the same way as a man?,Zambia,2021,yes,1,9864121.0,1.0,9.864121
Are there criminal penalties or civil remedies for sexual harassment in employment?,Zambia,2021,yes,1,9864121.0,1.0,9.864121
Is there legislation on sexual harassment in employment?,Zambia,2021,yes,1,9864121.0,1.0,9.864121
Is there legislation on sexual harassment in employment?,Chile,2021,yes,1,9818163.0,1.0,9.818163
Are there criminal penalties or civil remedies for sexual harassment in employment?,Chile,2021,no,-1,9818163.0,1.0,9.818163
Can a woman get a job in the same way as a man?,Chile,2021,yes,1,9818163.0,1.0,9.818163
Does the law prohibit discrimination in employment based on gender?,Chile,2021,yes,1,9818163.0,1.0,9.818163
Are there criminal penalties or civil remedies for sexual harassment in employment?,Ecuador,2021,yes,1,8910903.0,1.0,8.910903
Is there legislation on sexual harassment in employment?,Ecuador,2021,yes,1,8910903.0,1.0,8.910903
Does the law prohibit discrimination in employment based on gender?,Ecuador,2021,yes,1,8910903.0,1.0,8.910903
Can a woman get a job in the same way as a man?,Ecuador,2021,yes,1,8910903.0,1.0,8.910903
Does the law prohibit discrimination in employment based on gender?,Netherlands,2021,yes,1,8820968.0,1.0,8.820968
Is there legislation on sexual harassment in employment?,Netherlands,2021,yes,1,8820968.0,1.0,8.820968
Can a woman get a job in the same way as a man?,Netherlands,2021,yes,1,8820968.0,1.0,8.820968
Are there criminal penalties or civil remedies for sexual harassment in employment?,Netherlands,2021,yes,1,8820968.0,1.0,8.820968
Does the law prohibit discrimination in employment based on gender?,Guatemala,2021,no,-1,8639673.0,1.0,8.639673
Are there criminal penalties or civil remedies for sexual harassment in employment?,Guatemala,2021,no,-1,8639673.0,1.0,8.639673
Is there legislation on sexual harassment in employment?,Guatemala,2021,no,-1,8639673.0,1.0,8.639673
Can a woman get a job in the same way as a man?,Guatemala,2021,yes,1,8639673.0,1.0,8.639673
Can a woman get a job in the same way as a man?,Senegal,2021,yes,1,8579664.0,1.0,8.579664
Is there legislation on sexual harassment in employment?,Senegal,2021,yes,1,8579664.0,1.0,8.579664
Does the law prohibit discrimination in employment based on gender?,Senegal,2021,yes,1,8579664.0,1.0,8.579664
Are there criminal penalties or civil remedies for sexual harassment in employment?,Senegal,2021,yes,1,8579664.0,1.0,8.579664
Can a woman get a job in the same way as a man?,Chad,2021,no,-1,8556210.0,1.0,8.55621
Does the law prohibit discrimination in employment based on gender?,Chad,2021,yes,1,8556210.0,1.0,8.55621
Is there legislation on sexual harassment in employment?,Chad,2021,yes,1,8556210.0,1.0,8.55621
Are there criminal penalties or civil remedies for sexual harassment in employment?,Chad,2021,yes,1,8556210.0,1.0,8.55621
Can a woman get a job in the same way as a man?,Somalia,2021,yes,1,8509953.0,1.0,8.509953
