indicator_name,entity_name,year,value_label,value,female_pop,width,female_pop_annot
Does the law prohibit discrimination in employment based on gender?,China,2021,yes,1,691219627.0,17.782727766277976,691.219627
Are there criminal penalties or civil remedies for sexual harassment in employment?,China,2021,yes,1,691219627.0,17.782727766277976,691.219627
Is there legislation on sexual harassment in employment?,China,2021,yes,1,691219627.0,17.782727766277976,691.219627
Can a woman get a job in the same way as a man?,China,2021,yes,1,691219627.0,17.782727766277976,691.219627
Can a woman get a job in the same way as a man?,India,2021,yes,1,681060412.0,17.521365751069908,681.060412
Does the law prohibit discrimination in employment based on gender?,India,2021,yes,1,681060412.0,17.521365751069908,681.060412
Is there legislation on sexual harassment in employment?,India,2021,yes,1,681060412.0,17.521365751069908,681.060412
Are there criminal penalties or civil remedies for sexual harassment in employment?,India,2021,yes,1,681060412.0,17.521365751069908,681.060412
Does the law prohibit discrimination in employment based on gender?,United States,2021,yes,1,167480460.0,4.308702053610824,167.48046
Can a woman get a job in the same way as a man?,United States,2021,yes,1,167480460.0,4.308702053610824,167.48046
Is there legislation on sexual harassment in employment?,United States,2021,yes,1,167480460.0,4.308702053610824,167.48046
Are there criminal penalties or civil remedies for sexual harassment in employment?,United States,2021,yes,1,167480460.0,4.308702053610824,167.48046
Can a woman get a job in the same way as a man?,Indonesia,2021,yes,1,135900714.0,3.496262701326335,135.900714
Does the law prohibit discrimination in employment based on gender?,Indonesia,2021,yes,1,135900714.0,3.496262701326335,135.900714
Are there criminal penalties or civil remedies for sexual harassment in employment?,Indonesia,2021,no,-1,135900714.0,3.496262701326335,135.900714
Is there legislation on sexual harassment in employment?,Indonesia,2021,no,-1,135900714.0,3.496262701326335,135.900714
Can a woman get a job in the same way as a man?,Pakistan,2021,yes,1,114586264.0,2.9479144672303383,114.586264
Are there criminal penalties or civil remedies for sexual harassment in employment?,Pakistan,2021,yes,1,114586264.0,2.9479144672303383,114.586264
Is there legislation on sexual harassment in employment?,Pakistan,2021,yes,1,114586264.0,2.9479144672303383,114.586264
Does the law prohibit discrimination in employment based on gender?,Pakistan,2021,yes,1,114586264.0,2.9479144672303383,114.586264
Can a woman get a job in the same way as a man?,Brazil,2021,yes,1,109034931.0,2.805097568486583,109.034931
Does the law prohibit discrimination in employment based on gender?,Brazil,2021,yes,1,109034931.0,2.805097568486583,109.034931
Is there legislation on sexual harassment in employment?,Brazil,2021,yes,1,109034931.0,2.805097568486583,109.034931
Are there criminal penalties or civil remedies for sexual harassment in employment?,Brazil,2021,yes,1,109034931.0,2.805097568486583,109.034931
Can a woman get a job in the same way as a man?,Nigeria,2021,yes,1,105574310.0,2.7160675717367013,105.57431
Does the law prohibit discrimination in employment based on gender?,Nigeria,2021,no,-1,105574310.0,2.7160675717367013,105.57431
Is there legislation on sexual harassment in employment?,Nigeria,2021,yes,1,105574310.0,2.7160675717367013,105.57431
Are there criminal penalties or civil remedies for sexual harassment in employment?,Nigeria,2021,yes,1,105574310.0,2.7160675717367013,105.57431
Is there legislation on sexual harassment in employment?,Bangladesh,2021,yes,1,85358163.0,2.195974934691172,85.358163
Are there criminal penalties or civil remedies for sexual harassment in employment?,Bangladesh,2021,no,-1,85358163.0,2.195974934691172,85.358163
Does the law prohibit discrimination in employment based on gender?,Bangladesh,2021,no,-1,85358163.0,2.195974934691172,85.358163
Can a woman get a job in the same way as a man?,Bangladesh,2021,yes,1,85358163.0,2.195974934691172,85.358163
Are there criminal penalties or civil remedies for sexual harassment in employment?,Russia,2021,no,-1,76824577.0,1.9764348192480656,76.824577
Can a woman get a job in the same way as a man?,Russia,2021,yes,1,76824577.0,1.9764348192480656,76.824577
Does the law prohibit discrimination in employment based on gender?,Russia,2021,yes,1,76824577.0,1.9764348192480656,76.824577
Is there legislation on sexual harassment in employment?,Russia,2021,no,-1,76824577.0,1.9764348192480656,76.824577
Does the law prohibit discrimination in employment based on gender?,Mexico,2021,yes,1,64849001.0,1.6683440192563979,64.849001
Can a woman get a job in the same way as a man?,Mexico,2021,yes,1,64849001.0,1.6683440192563979,64.849001
Are there criminal penalties or civil remedies for sexual harassment in employment?,Mexico,2021,yes,1,64849001.0,1.6683440192563979,64.849001
Is there legislation on sexual harassment in employment?,Mexico,2021,yes,1,64849001.0,1.6683440192563979,64.849001
Is there legislation on sexual harassment in employment?,Japan,2021,no,-1,64594414.0,1.6617943624801828,64.594414
Can a woman get a job in the same way as a man?,Japan,2021,yes,1,64594414.0,1.6617943624801828,64.594414
Does the law prohibit discrimination in employment based on gender?,Japan,2021,yes,1,64594414.0,1.6617943624801828,64.594414
Are there criminal penalties or civil remedies for sexual harassment in employment?,Japan,2021,no,-1,64594414.0,1.6617943624801828,64.594414
Are there criminal penalties or civil remedies for sexual harassment in employment?,Ethiopia,2021,yes,1,59839622.0,1.5394697518665488,59.839622
Does the law prohibit discrimination in employment based on gender?,Ethiopia,2021,yes,1,59839622.0,1.5394697518665488,59.839622
Is there legislation on sexual harassment in employment?,Ethiopia,2021,yes,1,59839622.0,1.5394697518665488,59.839622
Can a woman get a job in the same way as a man?,Ethiopia,2021,yes,1,59839622.0,1.5394697518665488,59.839622
Can a woman get a job in the same way as a man?,Philippines,2021,yes,1,56062865.0,1.4423066521121712,56.062865
Is there legislation on sexual harassment in employment?,Philippines,2021,yes,1,56062865.0,1.4423066521121712,56.062865
Are there criminal penalties or civil remedies for sexual harassment in employment?,Philippines,2021,yes,1,56062865.0,1.4423066521121712,56.062865
Does the law prohibit discrimination in employment based on gender?,Philippines,2021,yes,1,56062865.0,1.4423066521121712,56.062865
